"municipiouf";"2013";"2015";"2017"
"Jauru, MT";10;9;16
"Jurema, PI";8;14;16
"Juru, PB";5;9;16
"Jussara, PR";7;17;16
"Jutaí, AM";17;18;16
"Lontra, MG";8;29;16
"Mallet, PR";9;13;16
"Mantenópolis, ES";5;8;16
"Maracaçumé, MA";10;16;16
"Mascote, BA";6;12;16
"Mato Verde, MG";9;NA;16
"Maxaranguape, RN";6;12;16
"Mirante da Serra, RO";10;15;16
"Mirassol d'Oeste, MT";NA;NA;16
"Mucambo, CE";19;16;16
"Mulungu do Morro, BA";7;23;16
"Nazareno, MG";7;13;16
"Nordestina, BA";9;31;16
"Nova Brasilândia D'Oeste, RO";NA;15;16
"Nova Canaã do Norte, MT";15;11;16
"Nova Ibiá, BA";8;11;16
"Nova Iguaçu de Goiás, GO";7;20;16
"Nova Xavantina, MT";24;16;16
"Olho D'Água do Piauí, PI";NA;NA;16
"Orleans, SC";5;12;16
"Ouro Branco, RN";NA;13;16
"Padre Marcos, PI";5;10;16
"Paquetá, PI";5;10;16
"Paripiranga, BA";9;32;16
"Passos Maia, SC";4;25;16
"Pedranópolis, SP";7;17;16
"Pedras Grandes, SC";3;15;16
"Penápolis, SP";5;11;16
"Pimenteiras do Oeste, RO";8;8;16
"Planura, MG";4;10;16
"Prata, MG";15;16;16
"Primeira Cruz, MA";5;11;16
"Prudente de Morais, MG";8;15;16
"Redentora, RS";10;15;16
"Rio das Pedras, SP";NA;10;16
"Rio Formoso, PE";8;39;16
"Salto do Céu, MT";8;15;16
"Santa Cruz da Baixa Verde, PE";6;11;16
"Santa Leopoldina, ES";19;18;16
"Santa Rosa do Sul, SC";3;11;16
"Santa Tereza do Tocantins, TO";5;7;16
"Santana do Matos, RN";19;10;16
"Santana, AP";NA;23;16
"Santo Amaro do Maranhão, MA";8;16;16
"Santo Antônio da Barra, GO";5;23;16
"Santo Antônio de Lisboa, PI";5;16;16
"Santo Antônio do Sudoeste, PR";4;10;16
"São Francisco de Assis do Piauí, PI";13;13;16
"São Francisco do Guaporé, RO";13;20;16
"São Francisco do Maranhão, MA";7;13;16
"São Jerônimo da Serra, PR";10;17;16
"São João Evangelista, MG";28;15;16
"São José de Ubá, RJ";15;18;16
"São José do Sabugi, PB";4;17;16
"São José do Xingu, MT";9;16;16
"São Luiz Gonzaga, RS";13;14;16
"São Sebastião do Anta, MG";5;9;16
"São Vicente, RN";4;9;16
"Sapeaçu, BA";11;12;16
"Sátiro Dias, BA";10;13;16
"Sebastianópolis do Sul, SP";9;18;16
"Simplício Mendes, PI";9;14;16
"Soledade, PB";4;19;16
"Souto Soares, BA";10;10;16
"Sussuapara, PI";5;13;16
"Tapejara, PR";6;19;16
"Tarumirim, MG";27;26;16
"Tenente Laurentino Cruz, RN";7;13;16
"Terra Alta, PA";17;12;16
"Tibau, RN";6;3;16
"Tuparendi, RS";3;15;16
"Urutaí, GO";2;10;16
"Várzea Grande, PI";6;8;16
"Abel Figueiredo, PA";8;8;15
"Agricolândia, PI";5;13;15
"Alhandra, PB";5;54;15
"Alpinópolis, MG";6;17;15
"Alto do Rodrigues, RN";3;21;15
"Alto Parnaíba, MA";7;15;15
"Alvorada, TO";6;9;15
"Amaporã, PR";7;7;15
"Anahy, PR";8;7;15
"Analândia, SP";NA;19;15
"Aparecida d'Oeste, SP";NA;NA;15
"Aragarças, GO";7;7;15
"Arraial, PI";6;5;15
"Aurilândia, GO";8;14;15
"Aveiro, PA";7;14;15
"Bacuri, MA";3;24;15
"Bacurituba, MA";5;13;15
"Baía da Traição, PB";7;27;15
"Barão de Grajaú, MA";20;15;15
"Barbosa Ferraz, PR";9;14;15
"Barra do Jacaré, PR";4;18;15
"Belém, AL";6;15;15
"Benedito Leite, MA";5;17;15
"Bom Repouso, MG";9;10;15
"Bom Retiro, SC";9;9;15
"Bonfim, RR";5;8;15
"Brasilândia do Tocantins, TO";11;12;15
"Brejinho de Nazaré, TO";8;12;15
"Buri, SP";2;9;15
"Buriti do Tocantins, TO";9;18;15
"Cachoeira de Pajeú, MG";5;8;15
"Cacique Doble, RS";11;14;15
"Caiana, MG";5;7;15
"Cambuí, MG";5;14;15
"Campestre do Maranhão, MA";NA;14;15
"Campos de Júlio, MT";9;14;15
"Capela do Alto, SP";5;12;15
"Caranaíba, MG";NA;9;15
"Carmo da Cachoeira, MG";8;13;15
"Carmo de Minas, MG";12;12;15
"Carmo do Rio Claro, MG";8;21;15
"Castanheira, MT";7;11;15
"Catarina, CE";15;13;15
"Catingueira, PB";5;11;15
"Caturama, BA";7;13;15
"Cidelândia, MA";13;16;15
"Concórdia do Pará, PA";11;34;15
"Coronel Macedo, SP";5;20;15
"Corumbataí do Sul, PR";8;8;15
"Cosmópolis, SP";7;22;15
"Crissiumal, RS";5;4;15
"Cristalândia do Piauí, PI";10;12;15
"Cristália, MG";5;14;15
"Cruz do Espírito Santo, PB";9;20;15
"Cruzeiro do Sul, RS";6;13;15
"Cumaru do Norte, PA";15;19;15
"Cumaru, PE";4;22;15
"Cunha, SP";16;23;15
"Curimatá, PI";4;12;15
"Curuçá, PA";13;14;15
"Damião, PB";23;11;15
"Dias d'Ávila, BA";NA;NA;15
"Dois Irmãos do Buriti, MS";10;12;15
"Duas Estradas, PB";5;9;15
"Dueré, TO";7;14;15
"Espera Feliz, MG";11;18;15
"Feira Nova do Maranhão, MA";13;11;15
"Feira Nova, SE";13;18;15
"Formoso, GO";6;12;15
"Forquilhinha, SC";9;18;15
"Fundão, ES";12;11;15
"General Carneiro, PR";4;13;15
"Goianápolis, GO";7;9;15
"Governador Mangabeira, BA";6;19;15
"Governador Newton Bello, MA";13;28;15
"Granito, PE";6;12;15
"Guaiçara, SP";6;4;15
"Guia Lopes da Laguna, MS";7;21;15
"Ibirapuã, BA";3;10;15
"Igaracy, PB";12;10;15
"Inajá, PE";1;25;15
"Irapuru, SP";4;13;15
"Irará, BA";10;15;15
"Itacambira, MG";8;17;15
"Itagibá, BA";12;14;15
"Itaíba, PE";4;40;15
"Itainópolis, PI";18;11;15
"Itambacuri, MG";8;26;15
"Itaparica, BA";5;14;15
"Iuiú, BA";25;10;15
"Jaçanã, RN";4;15;15
"Jacobina do Piauí, PI";6;14;15
"Jandaíra, RN";7;10;15
"Jitaúna, BA";11;12;15
"Joaíma, MG";5;13;15
"João Dourado, BA";11;30;15
"Joaquim Pires, PI";17;13;15
"Joaquim Távora, PR";7;10;15
"Junqueirópolis, SP";7;17;15
"Lagoa de São Francisco, PI";10;11;15
"Lajeado Novo, MA";8;13;15
"Lavras do Sul, RS";10;12;15
"Luís Gomes, RN";7;9;15
"Luislândia, MG";6;13;15
"Machadinho D'Oeste, RO";NA;4;15
"Major Isidoro, AL";7;13;15
"Malhada, BA";3;8;15
"Manoel Emídio, PI";7;11;15
"Mara Rosa, GO";3;16;15
"Massapê do Piauí, PI";4;9;15
"Matelândia, PR";14;12;15
"Mathias Lobato, MG";3;14;15
"Maximiliano de Almeida, RS";10;17;15
"Milagres, BA";6;20;15
"Milhã, CE";10;12;15
"Monte Alegre do Piauí, PI";9;9;15
"Monte do Carmo, TO";7;12;15
"Montes Altos, MA";7;11;15
"Moraújo, CE";4;9;15
"Morretes, PR";11;25;15
"Normandia, RR";5;3;15
"Nova Aurora, PR";8;13;15
"Olho d'Água do Casado, AL";NA;NA;15
"Ouro Verde, SP";4;13;15
"Pacoti, CE";6;17;15
"Pajeú do Piauí, PI";16;17;15
"Palestina, AL";8;22;15
"Palestina, SP";7;11;15
"Palhano, CE";19;15;15
"Palmeirante, TO";3;22;15
"Palminópolis, GO";18;4;15
"Pancas, ES";19;24;15
"Paraíso das Águas, MS";7;6;15
"Paramoti, CE";8;11;15
"Pedra Preta, MT";6;13;15
"Pedralva, MG";2;7;15
"Pequizeiro, TO";10;14;15
"Periquito, MG";5;11;15
"Pilar do Sul, SP";9;16;15
"Pingo-d'Água, MG";NA;NA;15
"Ponte Alta do Tocantins, TO";8;12;15
"Porangaba, SP";9;14;15
"Porto Alegre do Norte, MT";7;17;15
"Posse, GO";8;12;15
"Puxinanã, PB";8;11;15
"Ramilândia, PR";17;17;15
"Rancho Alegre D'Oeste, PR";NA;NA;15
"Riachão, PB";5;13;15
"Riacho de Santana, RN";3;12;15
"Rosana, SP";6;11;15
"Rubim, MG";9;12;15
"Sananduva, RS";11;15;15
"Santa Bárbara, MG";6;14;15
"Santa Helena, PB";3;9;15
"Santa Izabel do Oeste, PR";6;15;15
"Santa Maria do Suaçuí, MG";10;5;15
"Santa Terezinha de Goiás, GO";7;19;15
"Santana do Maranhão, MA";7;15;15
"Santo Antônio de Posse, SP";6;16;15
"Santo Antônio do Amparo, MG";1;9;15
"São Domingos, SC";4;18;15
"São Félix, BA";7;7;15
"São Gabriel da Cachoeira, AM";18;19;15
"São João da Varjota, PI";7;16;15
"São João do Pacuí, MG";7;9;15
"São João do Sabugi, RN";3;13;15
"São João, PE";2;14;15
"São Pedro do Iguaçu, PR";11;10;15
"São Romão, MG";13;13;15
"São Sebastião da Amoreira, PR";6;14;15
"Serra do Salitre, MG";5;8;15
"Serrinha, RN";8;8;15
"Tacaimbó, PE";8;26;15
"Tapira, MG";24;10;15
"Telha, SE";13;20;15
"Teodoro Sampaio, BA";NA;9;15
"Terezópolis de Goiás, GO";5;13;15
"Teutônia, RS";9;10;15
"Timbó, SC";4;13;15
"Três de Maio, RS";17;19;15
"Tuneiras do Oeste, PR";12;11;15
"Ubaporanga, MG";6;5;15
"Ubatuba, SP";5;5;15
"Uibaí, BA";8;13;15
"Umarizal, RN";9;15;15
"Umburatiba, MG";3;9;15
"Urandi, BA";4;5;15
"Urubici, SC";3;9;15
"Uruçuca, BA";7;11;15
"Vacaria, RS";12;13;15
"Vale do Sol, RS";15;16;15
"Varjão, GO";3;9;15
"Água Limpa, GO";8;12;14
"Alpercata, MG";7;14;14
"Alto Rio Novo, ES";4;11;14
"Álvares Florence, SP";5;16;14
"Alvorada do Gurguéia, PI";11;20;14
"Anagé, BA";17;48;14
"Antas, BA";5;11;14
"Arapuã, PR";16;14;14
"Assunção, PB";5;10;14
"Atalaia do Norte, AM";4;13;14
"Bannach, PA";8;10;14
"Baraúna, PB";4;11;14
"Bertolínia, PI";7;9;14
"Boa Saude, RN";NA;NA;14
"Bocaina, PI";13;19;14
"Bofete, SP";18;16;14
"Bom Jesus, RN";15;11;14
"Bom Jesus, SC";11;10;14
"Botuverá, SC";5;9;14
"Braganey, PR";5;10;14
"Brejo Grande do Araguaia, PA";13;19;14
"Britânia, GO";8;16;14
"Caetanópolis, MG";11;14;14
"Caiabu, SP";5;14;14
"Caiçara, PB";4;6;14
"Cajuri, MG";10;6;14
"Calçado, PE";5;11;14
"Campinas do Piauí, PI";7;9;14
"Canapi, AL";2;4;14
"Candói, PR";10;11;14
"Caputira, MG";12;13;14
"Caridade do Piauí, PI";15;19;14
"Cássia, MG";4;13;14
"Catuípe, RS";7;8;14
"Cerejeiras, RO";9;20;14
"Cezarina, GO";8;8;14
"Chupinguaia, RO";6;6;14
"Conceição do Rio Verde, MG";3;4;14
"Coroados, SP";6;4;14
"Cristópolis, BA";23;22;14
"Cruzália, SP";NA;2;14
"Descanso, SC";4;7;14
"Dom Joaquim, MG";12;12;14
"Duque Bacelar, MA";10;12;14
"Engenheiro Coelho, SP";6;11;14
"Equador, RN";30;14;14
"Estrela do Norte, GO";5;19;14
"Faro, PA";6;10;14
"Fronteira dos Vales, MG";NA;NA;14
"Fronteira, MG";8;11;14
"Garopaba, SC";4;10;14
"Garuva, SC";15;14;14
"Gavião, BA";7;12;14
"General Câmara, RS";8;19;14
"General Sampaio, CE";8;11;14
"Gentio do Ouro, BA";9;13;14
"Goioxim, PR";12;13;14
"Guaporema, PR";9;14;14
"Iacanga, SP";4;5;14
"Ibaretama, CE";15;30;14
"Igarapé do Meio, MA";34;33;14
"Igaratinga, MG";9;14;14
"Imaculada, PB";5;15;14
"Ipiranga do Piauí, PI";6;14;14
"Ipuã, SP";7;32;14
"Itagi, BA";18;11;14
"Itagimirim, BA";6;11;14
"Itaguatins, TO";4;8;14
"Itamarati de Minas, MG";5;7;14
"Itauçu, GO";6;14;14
"Jaboticaba, RS";3;10;14
"Jacaré dos Homens, AL";NA;NA;14
"Jaguapitã, PR";10;23;14
"Jesúpolis, GO";9;9;14
"José da Penha, RN";6;8;14
"Joviânia, GO";5;14;14
"Lago Verde, MA";8;23;14
"Lagoa dos Três Cantos, RS";NA;NA;14
"Lagoa Real, BA";14;14;14
"Lagoinha do Piauí, PI";5;8;14
"Lajeado Grande, SC";5;14;14
"Lajedo do Tabocal, BA";11;16;14
"Lambari D'Oeste, MT";NA;NA;14
"Lupionópolis, PR";5;6;14
"Macarani, BA";12;10;14
"Machacalis, MG";13;11;14
"Mairi, BA";8;12;14
"Mâncio Lima, AC";12;17;14
"Mansidão, BA";8;11;14
"Maracaí, SP";5;16;14
"Marajá do Sena, MA";7;9;14
"Marcolândia, PI";7;13;14
"Marianópolis do Tocantins, TO";5;12;14
"Matinhas, PB";4;7;14
"Mauá da Serra, PR";6;7;14
"Miraíma, CE";9;18;14
"Montadas, PB";7;17;14
"Montividiu, GO";6;21;14
"Muniz Ferreira, BA";4;12;14
"Muricilândia, TO";5;9;14
"Nazaré do Piauí, PI";10;11;14
"Nazária, PI";4;3;14
"Nina Rodrigues, MA";5;19;14
"Nova Europa, SP";5;4;14
"Novo Horizonte do Oeste, RO";6;10;14
"Olho d'Água Grande, AL";NA;NA;14
"Ouro Velho, PB";3;10;14
"Ouro Verde, SC";10;8;14
"Palmeirina, PE";4;13;14
"Palmitos, SC";5;22;14
"Pau Brasil, BA";7;9;14
"Paulínia, SP";10;48;14
"Paulistas, MG";9;7;14
"Pilões, PB";10;8;14
"Ponte Branca, MT";6;5;14
"Prado Ferreira, PR";4;14;14
"Praia Norte, TO";5;7;14
"Presidente Venceslau, SP";11;38;14
"Ressaquinha, MG";5;15;14
"Ribeiro Gonçalves, PI";5;8;14
"Rio dos Bois, TO";NA;NA;14
"Rio Maria, PA";17;13;14
"Rodeiro, MG";4;12;14
"Rondinha, RS";14;12;14
"Rurópolis, PA";5;10;14
"Santa Adélia, SP";16;16;14
"Santa Bárbara, BA";12;26;14
"Santa Inês, BA";5;6;14
"Santa Margarida, MG";6;10;14
"Santa Teresinha, BA";24;17;14
"Santo Antônio de Goiás, GO";1;12;14
"Santo Antônio do Grama, MG";7;9;14
"São Bento Abade, MG";6;13;14
"São Bento do Trairí, RN";6;6;14
"São Braz do Piauí, PI";9;9;14
"São Fernando, RN";6;11;14
"São Gonçalo do Gurguéia, PI";13;16;14
"São João da Serra, PI";7;11;14
"São João do Caiuá, PR";14;16;14
"São João do Jaguaribe, CE";15;9;14
"São José da Lagoa Tapada, PB";8;6;14
"São Miguel das Matas, BA";NA;NA;14
"São Pedro do Paraná, PR";4;11;14
"São Pedro do Piauí, PI";3;9;14
"São Sebastião de Lagoa de Roça, PB";7;8;14
"São Sebastião do Caí, RS";14;21;14
"Sarapuí, SP";12;9;14
"Senador José Porfírio, PA";5;13;14
"Sentinela do Sul, RS";3;12;14
"Serra Redonda, PB";6;16;14
"Setubinha, MG";2;11;14
"Tanque d'Arca, AL";NA;NA;14
"Taperoá, BA";6;11;14
"Taquarivaí, SP";9;6;14
"Terra Nova, PE";4;19;14
"Triunfo Potiguar, RN";7;14;14
"Trombas, GO";10;6;14
"Urupá, RO";4;7;14
"Vera Cruz do Oeste, PR";12;17;14
"Vera Cruz, SP";4;7;14
"Vieirópolis, PB";5;10;14
"Vila Valério, ES";5;6;14
"Abadia de Goiás, GO";7;8;13
"Abaíra, BA";3;12;13
"Água Comprida, MG";6;13;13
"Água Fria, BA";4;12;13
"Amaralina, GO";4;12;13
"Anapu, PA";4;14;13
"Antônio Olinto, PR";10;18;13
"Araçu, GO";10;10;13
"Araguacema, TO";7;8;13
"Ararendá, CE";10;12;13
"Baixa Grande do Ribeiro, PI";9;13;13
"Bandeirantes, PR";10;12;13
"Barcelona, RN";6;14;13
"Barra do Quaraí, RS";12;9;13
"Batalha, PI";6;14;13
"Bom Jesus do Norte, ES";5;11;13
"Bonito de Minas, MG";10;7;13
"Brazabrantes, GO";6;8;13
"Brejo de Areia, MA";7;12;13
"Bugre, MG";4;4;13
"Cabrália Paulista, SP";5;10;13
"Campina do Simão, PR";4;6;13
"Campo Novo de Rondônia, RO";NA;6;13
"Capitão, RS";7;8;13
"Carlinda, MT";14;18;13
"Carmópolis de Minas, MG";7;6;13
"Casa Branca, SP";6;12;13
"Catanduvas, SC";3;10;13
"Catunda, CE";4;12;13
"Centenário, RS";9;12;13
"Cipó, BA";27;30;13
"Contenda, PR";14;14;13
"Corinto, MG";7;15;13
"Coroaci, MG";19;17;13
"Córrego Novo, MG";8;14;13
"Cotegipe, BA";6;22;13
"Cubati, PB";5;6;13
"Cujubim, RO";NA;18;13
"Demerval Lobão, PI";11;10;13
"Dirceu Arcoverde, PI";8;8;13
"Divisa Alegre, MG";3;19;13
"Dois Irmãos, RS";5;11;13
"Dom Macedo Costa, BA";18;16;13
"Douradina, MS";11;11;13
"Doutor Ricardo, RS";9;10;13
"Doverlândia, GO";4;7;13
"Edéia, GO";7;9;13
"Eldorado, MS";10;11;13
"Elias Fausto, SP";13;15;13
"Engenheiro Beltrão, PR";10;8;13
"Erval Seco, RS";6;11;13
"Euclides da Cunha Paulista, SP";9;15;13
"Feira da Mata, BA";7;12;13
"Feira Nova, PE";4;11;13
"Felipe Guerra, RN";6;9;13
"Felisburgo, MG";6;8;13
"Firmino Alves, BA";4;11;13
"Flórida, PR";6;14;13
"Galinhos, RN";NA;4;13
"Girau do Ponciano, AL";10;25;13
"Godofredo Viana, MA";7;4;13
"Guajará, AM";12;26;13
"Guarani de Goiás, GO";10;12;13
"Guarda-Mor, MG";NA;NA;13
"Humaitá, AM";11;13;13
"Ibiaçá, RS";3;13;13
"Ibiara, PB";8;10;13
"Ibirá, SP";5;11;13
"Ibiraçu, ES";7;18;13
"Iepê, SP";4;14;13
"Ilicínea, MG";11;15;13
"Indianópolis, PR";8;10;13
"Ipaba, MG";5;3;13
"Itacajá, TO";10;13;13
"Itaeté, BA";20;19;13
"Itapebi, BA";14;12;13
"Itapitanga, BA";11;12;13
"Itatuba, PB";6;18;13
"Itinga do Maranhão, MA";3;7;13
"Jaguaribara, CE";5;13;13
"Jeriquara, SP";8;17;13
"Jerônimo Monteiro, ES";12;15;13
"Juarez Távora, PB";3;15;13
"Juquitiba, SP";8;19;13
"Juranda, PR";3;7;13
"Juscimeira, MT";8;18;13
"Jussiape, BA";8;12;13
"Juvenília, MG";11;18;13
"Lagoa Alegre, PI";6;9;13
"Lagoa da Canoa, AL";2;25;13
"Lagoa do Ouro, PE";12;24;13
"Lajedinho, BA";13;13;13
"Licínio de Almeida, BA";9;17;13
"Lima Campos, MA";6;10;13
"Logradouro, PB";4;5;13
"Luís Antônio, SP";8;4;13
"Macambira, SE";8;18;13
"Macatuba, SP";8;16;13
"Mambaí, GO";8;7;13
"Mata de São João, BA";10;11;13
"Mesquita, MG";9;13;13
"Messias, AL";4;7;13
"Montenegro, RS";11;17;13
"Nhandeara, SP";6;8;13
"Nova Campina, SP";NA;6;13
"Nova Floresta, PB";4;4;13
"Nova Hartz, RS";7;11;13
"Nova Lacerda, MT";11;16;13
"Nova Porteirinha, MG";7;12;13
"Nova Timboteua, PA";12;15;13
"Novo Lino, AL";6;22;13
"Ouro Branco, MG";8;14;13
"Ouro, SC";6;17;13
"Palestina do Pará, PA";9;14;13
"Palmares do Sul, RS";13;10;13
"Paraná, RN";4;9;13
"Passagem, PB";6;13;13
"Paulo de Faria, SP";8;9;13
"Paulo Jacinto, AL";5;10;13
"Perdizes, MG";13;12;13
"Pilar de Goiás, GO";12;12;13
"Pinhão, SE";4;7;13
"Piracanjuba, GO";6;34;13
"Pocinhos, PB";4;10;13
"Pomerode, SC";6;11;13
"Ponto Novo, BA";3;8;13
"Portão, RS";13;15;13
"Porto Amazonas, PR";5;14;13
"Potiretama, CE";8;10;13
"Pranchita, PR";9;12;13
"Professor Jamil, GO";4;15;13
"Pureza, RN";6;4;13
"Queimada Nova, PI";8;14;13
"Regente Feijó, SP";6;14;13
"Rio Branco do Ivaí, PR";4;10;13
"Rio Branco, MT";14;16;13
"Saboeiro, CE";35;38;13
"Sambaíba, MA";5;15;13
"Santa Clara do Sul, RS";14;13;13
"Santa Cruz da Conceição, SP";9;11;13
"Santa Isabel do Ivaí, PR";9;9;13
"Santa Maria de Itabira, MG";9;6;13
"Santa Maria, RS";30;48;13
"Santa Rita do Novo Destino, GO";7;6;13
"Santa Rosa do Piauí, PI";7;12;13
"Santana, BA";8;25;13
"Santarém Novo, PA";8;21;13
"Santo Antônio do Itambé, MG";10;7;13
"São Bento do Tocantins, TO";4;8;13
"São Francisco do Piauí, PI";8;10;13
"São Gabriel do Oeste, MS";12;17;13
"São João da Canabrava, PI";6;10;13
"São José de Espinharas, PB";11;11;13
"São José do Divino, PI";6;13;13
"São Miguel do Anta, MG";16;14;13
"São Pedro do Ivaí, PR";5;15;13
"São Raimundo do Doca Bezerra, MA";12;17;13
"São Sebastião do Umbuzeiro, PB";6;6;13
"São Vicente do Seridó, PB";NA;NA;13
"Selbach, RS";9;11;13
"Senhora do Porto, MG";5;5;13
"Serra da Raiz, PB";5;11;13
"Siderópolis, SC";4;10;13
"Simonésia, MG";1;8;13
"Sítio Novo do Tocantins, TO";6;6;13
"Tabapuã, SP";10;22;13
"Terra Roxa, PR";10;19;13
"Tocantínia, TO";11;12;13
"Tomar do Geru, SE";12;26;13
"Tomazina, PR";6;16;13
"Torrinha, SP";5;11;13
"Tumiritinga, MG";6;6;13
"Turvelândia, GO";13;12;13
"Turvo, PR";8;13;13
"Umirim, CE";19;15;13
"União do Sul, MT";3;11;13
"Vale do Paraíso, RO";16;7;13
"Várzea Nova, BA";7;15;13
"Varzelândia, MG";11;8;13
"Venha-Ver, RN";NA;NA;13
"Vera Cruz, RN";5;7;13
"Visconde do Rio Branco, MG";21;20;13
"Vista Alegre do Prata, RS";4;11;13
"Vitória Brasil, SP";5;19;13
"Westfalia, RS";9;12;13
"Acauã, PI";9;10;12
"Acorizal, MT";6;14;12
"Agudos do Sul, PR";9;11;12
"Alfredo Marcondes, SP";3;4;12
"Algodão de Jandaíra, PB";5;5;12
"Alto Garças, MT";14;13;12
"Alvinópolis, MG";14;11;12
"Angelândia, MG";9;11;12
"Anísio de Abreu, PI";4;18;12
"Araçagi, PB";4;19;12
"Araguainha, MT";12;9;12
"Aratiba, RS";8;6;12
"Arenópolis, GO";7;10;12
"Aurelino Leal, BA";4;24;12
"Balneário Piçarras, SC";NA;7;12
"Barra do Rocha, BA";4;9;12
"Bela Vista do Piauí, PI";7;8;12
"Belágua, MA";9;25;12
"Bento de Abreu, SP";4;2;12
"Bernardino de Campos, SP";9;11;12
"Bernardo Sayão, TO";9;12;12
"Boa Esperança, PR";5;10;12
"Boa Hora, PI";12;12;12
"Bom Jesus da Serra, BA";6;11;12
"Bom Jesus do Araguaia, MT";7;8;12
"Bom Princípio do Piauí, PI";7;12;12
"Bom Progresso, RS";1;10;12
"Bom Sucesso, PR";7;6;12
"Bonfim, MG";5;9;12
"Boqueirão, PB";5;7;12
"Brotas de Macaúbas, BA";20;16;12
"Buriti dos Montes, PI";NA;NA;12
"Caibaté, RS";11;13;12
"Calçoene, AP";7;19;12
"Caldas Brandão, PB";5;8;12
"Campestre, AL";8;6;12
"Campo Limpo de Goiás, GO";2;7;12
"Campo Novo do Parecis, MT";9;16;12
"Canaã, MG";10;9;12
"Cândido Rodrigues, SP";8;9;12
"Capim, PB";5;14;12
"Caraí, MG";9;14;12
"Cardeal da Silva, BA";6;10;12
"Cariri do Tocantins, TO";7;11;12
"Carmésia, MG";4;6;12
"Carnaíba, PE";4;2;12
"Catalão, GO";5;35;12
"Caxambu, MG";4;13;12
"Chapada de Areia, TO";6;13;12
"Chapada do Norte, MG";9;11;12
"Chapada dos Guimarães, MT";NA;3;12
"Chapada, RS";7;12;12
"Cocalinho, MT";9;16;12
"Colares, PA";16;16;12
"Colômbia, SP";13;12;12
"Combinado, TO";5;8;12
"Conceição do Almeida, BA";4;7;12
"Condado, PB";13;14;12
"Contendas do Sincorá, BA";7;11;12
"Coxixola, PB";4;5;12
"Cruzmaltina, PR";11;11;12
"Cumbe, SE";6;11;12
"Davinópolis, MA";6;10;12
"Deodápolis, MS";5;9;12
"Divina Pastora, SE";12;10;12
"Elísio Medrado, BA";6;8;12
"Ermo, SC";4;12;12
"Espigão D'Oeste, RO";NA;3;12
"Ewbank da Câmara, MG";3;5;12
"Flores de Goiás, GO";20;10;12
"Fortaleza dos Valos, RS";NA;NA;12
"Frei Martinho, PB";3;12;12
"Getúlio Vargas, RS";6;9;12
"Goioerê, PR";10;11;12
"Gonçalves Dias, MA";17;29;12
"Grossos, RN";8;9;12
"Guapirama, PR";8;15;12
"Guaraíta, GO";5;8;12
"Gurjão, PB";10;19;12
"Iaciara, GO";6;10;12
"Iaras, SP";13;17;12
"Ibipeba, BA";4;7;12
"Ibirapuitã, RS";11;12;12
"Ibititá, BA";5;15;12
"Inocência, MS";6;15;12
"Ipueira, RN";6;13;12
"Ipueiras, TO";8;8;12
"Iracemápolis, SP";7;7;12
"Itaguajé, PR";3;8;12
"Jaboticatubas, MG";12;12;12
"Jaraguari, MS";7;12;12
"Jataúba, PE";7;15;12
"Jatobá do Piauí, PI";9;7;12
"João Neiva, ES";8;3;12
"Juramento, MG";3;7;12
"Lagamar, MG";6;10;12
"Lagoa do Piauí, PI";5;14;12
"Lagoa Formosa, MG";9;13;12
"Lavandeira, TO";10;14;12
"Lavínia, SP";NA;13;12
"Lebon Régis, SC";5;11;12
"Loreto, MA";4;11;12
"Lucrécia, RN";8;8;12
"Luís Domingues, MA";NA;8;12
"Macuco, RJ";11;4;12
"Madeiro, PI";10;9;12
"Mairinque, SP";7;12;12
"Major Sales, RN";5;10;12
"Manoel Urbano, AC";9;14;12
"Marema, SC";6;39;12
"Mataraca, PB";9;17;12
"Materlândia, MG";7;10;12
"Milton Brandão, PI";5;8;12
"Mimoso de Goiás, GO";7;10;12
"Mirabela, MG";14;16;12
"Miraselva, PR";4;11;12
"Monsenhor Paulo, MG";11;17;12
"Monte das Gameleiras, RN";NA;NA;12
"Monte Santo do Tocantins, TO";7;16;12
"Montividiu do Norte, GO";11;10;12
"Moreilândia, PE";7;11;12
"Moreira Sales, PR";8;8;12
"Nazaré, TO";6;5;12
"Nilo Peçanha, BA";6;7;12
"Nova Araçá, RS";7;12;12
"Nova Olímpia, PR";3;9;12
"Nova Olinda, TO";11;13;12
"Nova Roma, GO";7;8;12
"Nova Rosalândia, TO";9;9;12
"Novo Alegre, TO";5;10;12
"Novo Oriente de Minas, MG";15;10;12
"Novo Santo Antônio, MT";10;9;12
"Oiapoque, AP";2;10;12
"Olho-d'Água do Borges, RN";NA;NA;12
"Oscar Bressane, SP";4;15;12
"Pantano Grande, RS";11;13;12
"Paraibuna, SP";25;21;12
"Paranatama, PE";3;15;12
"Passagem, RN";5;7;12
"Patis, MG";8;14;12
"Paulo Bento, RS";10;9;12
"Pedra Bonita, MG";4;5;12
"Pedrinhas Paulista, SP";3;7;12
"Pedro Alexandre, BA";8;10;12
"Pedro de Toledo, SP";8;11;12
"Pejuçara, RS";14;15;12
"Pereira Barreto, SP";NA;11;12
"Pérola d'Oeste, PR";NA;2;12
"Pilõezinhos, PB";7;7;12
"Pindaí, BA";3;2;12
"Pindoba, AL";5;9;12
"Piraí do Norte, BA";5;8;12
"Porto dos Gaúchos, MT";NA;NA;12
"Porto Rico do Maranhão, MA";9;12;12
